PROBLEM,Solution,Decisions,Propagations,Time(seconds),Propagations/second,mySolution,myDecisions,myPropagations,myTime(seconds),myPropagations/second
vars-100-10.cnf,UNSATISFIABLE,601,15847,0.00,,UNSATISFIABLE,650,13231,0.19,69636
vars-100-1.cnf,SATISFIABLE,329,8329,0.00,,SATISFIABLE,48,786,0.14,5614
vars-100-2.cnf,SATISFIABLE,373,9213,0.00,,SATISFIABLE,39,505,0.14,3607
vars-100-3.cnf,UNSATISFIABLE,577,14645,0.00,,UNSATISFIABLE,889,18826,0.14,134471
vars-100-4.cnf,UNSATISFIABLE,694,17394,0.00,,UNSATISFIABLE,1171,24224,0.13,186338
vars-100-5.cnf,SATISFIABLE,278,6744,0.00,,SATISFIABLE,137,3027,0.14,21621
vars-100-6.cnf,SATISFIABLE,666,16174,0.00,,SATISFIABLE,1300,28143,0.14,201021
vars-100-7.cnf,SATISFIABLE,168,4227,0.00,,SATISFIABLE,43,753,0.13,5792
vars-100-8.cnf,SATISFIABLE,39,464,0.00,,SATISFIABLE,53,1091,0.14,7792
vars-100-9.cnf,UNSATISFIABLE,428,11683,0.00,,UNSATISFIABLE,533,10949,0.13,84223
vars-150-10.cnf,UNSATISFIABLE,3145,112731,0.03,3757700,UNSATISFIABLE,15998,433539,0.14,3096707
vars-150-1.cnf,SATISFIABLE,893,28826,0.01,2882600,SATISFIABLE,143,3386,0.11,30781
vars-150-2.cnf,SATISFIABLE,3190,112129,0.03,3737633,SATISFIABLE,3638,101677,0.13,782130
vars-150-3.cnf,SATISFIABLE,1563,54004,0.01,5400400,SATISFIABLE,4380,122386,0.10,1223860
vars-150-4.cnf,SATISFIABLE,1646,56216,0.01,5621600,SATISFIABLE,2664,74305,0.12,619208
vars-150-5.cnf,UNSATISFIABLE,3002,103204,0.02,5160200,UNSATISFIABLE,12043,315679,0.12,2630658
vars-150-6.cnf,SATISFIABLE,270,7657,0.00,,SATISFIABLE,362,10139,0.12,84491
